1	#bdbdbd	HUES6	cell line	stem cells	ENCFF205SDB
2	#bdbdbd	HUES64	cell line	stem cells	ENCFF180QLH
3	#bdbdbd	HUES48	cell line	stem cells	ENCFF086FKD
4	#636363	mesendoderm	in vitro differentiated cells	-	ENCFF620BVM
5	#bdbdbd	H9	cell line	stem cells	ENCFF021HBJ
6	#bdbdbd	H9	cell line	stem cells	ENCFF505OUS
7	#bdbdbd	H1	cell line	stem cells	ENCFF051OUV
8	#636363	mesodermal cell	in vitro differentiated cells	-	ENCFF250CGY
9	#636363	endodermal cell	in vitro differentiated cells	-	ENCFF138DOQ
10	#ffd700	neuroepithelial stem cell	in vitro differentiated cells	neural progenitors	ENCFF138OGZ
11	#636363	ectodermal cell	in vitro differentiated cells	-	ENCFF332EYK
12	#ffd700	radial glial cell	in vitro differentiated cells	neural progenitors	ENCFF593TNG
13	#ffd700	neural progenitor cell	in vitro differentiated cells	neural progenitors	ENCFF112ZGF
14	#ffd700	mid-neurogenesis radial glial cells	in vitro differentiated cells	neural progenitors	ENCFF376XBS
15	#ffd700	neural stem progenitor cell	in vitro differentiated cells	neural progenitors	ENCFF455CQW
16	#ffd700	neural cell	in vitro differentiated cells	neural progenitors	ENCFF477EUQ
17	#41ab5d	smooth muscle cell	in vitro differentiated cells	differentiated tissues	ENCFF281QON
18	#41ab5d	thymus	tissue	differentiated tissues	ENCFF059PHA
19	#41ab5d	adrenal gland	tissue	differentiated tissues	ENCFF840ANN
20	#41ab5d	IMR-90	cell line	-	ENCFF469PXS
21	#41ab5d	fibroblast of lung	primary cell	differentiated tissues	ENCFF292NZP
22	#41ab5d	muscle of trunk	tissue	differentiated tissues	ENCFF800YES
23	#41ab5d	muscle of leg	tissue	differentiated tissues	ENCFF941JIE
24	#41ab5d	stomach	tissue	differentiated tissues	ENCFF198WHL
25	#41ab5d	hepatocyte	in vitro differentiated cells	differentiated tissues	ENCFF093BQM
26	#41ab5d	large intestine	tissue	differentiated tissues	ENCFF903RGX
27	#41ab5d	small intestine	tissue	differentiated tissues	ENCFF543DVJ